1C4JJXP60M,Clark,Vancouver,WA,98685,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25,0,18,152275028,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040908
SADHD2S1XL,Skamania,Underwood,WA,98651,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234,0,14,125935827,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,53059950400
KNDCC3LG7K,Jefferson,Port Townsend,WA,98368,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239,0,24,8747826,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950501
KNDCC3LG9K,Jefferson,Port Townsend,WA,98368,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239,0,24,157064925,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950602
KNDCD3LD1K,Jefferson,Port Townsend,WA,98368,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,0,24,261121374,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950603
JTMAB3FV5M,Jefferson,Port Townsend,WA,98368,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,0,24,153817387,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950604
WA1E2AFY0N,Whatcom,Blaine,WA,98230,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),22,0,42,196443425,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010405
WA1E2AFY3M,Whatcom,Blaine,WA,98230,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18,0,42,169401634,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010410
WA1F2AFY7M,Whatcom,Blaine,WA,98230,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18,0,42,171206003,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010409
WA1G2AFY1M,Whatcom,Blaine,WA,98230,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18,0,42,148402152,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010405
JTMAB3FV8M,Whatcom,Blaine,WA,98230,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,0,42,209420956,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010405
5YJ3E1EB8K,Spokane,Cheney,WA,99004,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,0,6,203051404,CITY OF CHENEY - (WA),53063014002
5YJYGDEE5L,Spokane,Cheney,WA,99004,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,0,6,208948281,CITY OF CHENEY - (WA),53063014001
1G1FY6S05K,King,Seattle,WA,98105,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,46,3431662,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004201
1G1FY6S05K,King,Seattle,WA,98104,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,43,8987688,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500
1G1FY6S05K,King,Seattle,WA,98104,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,43,185031661,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500
1G1FY6S05K,King,Seattle,WA,98104,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,43,214997044,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500
WMZYU7C57K,King,Seattle,WA,98115,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),12,36900,46,476117974,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003800
W1N0G5DB8L,King,Seattle,WA,98112,2020,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),22,0,43,123247603,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
5YJ3E1EBXL,King,Lake Forest Park,WA,98155,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322,0,46,6038035,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021400
5YJ3E1EB6K,King,Seattle,WA,98199,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,0,36,185248717,CITY OF TACOMA - (WA),53033005600
5YJXCDE20L,Mason,Hoodsport,WA,98548,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289,0,35,126080811,CITY OF TACOMA - (WA),53045960201
1G1FY6S02K,King,Carnation,WA,98014,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,5,474605001,CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032500
1G1FY6S05K,King,Carnation,WA,98014,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,5,475821412,CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032500
1G1FY6S05L,Spokane,Spokane,WA,99207,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,0,3,145644866,MODERN ELECTRIC WATER COMPANY,53063001800
1G1FY6S06K,Spokane,Spokane,WA,99202,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,3,198202161,MODERN ELECTRIC WATER COMPANY,53063014500
1G1FY6S09K,Spokane,Spokane,WA,99207,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,3,476833983,MODERN ELECTRIC WATER COMPANY,53063001600
1G1FY6S09L,Spokane,Spokane,WA,99203,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,0,6,110463097,MODERN ELECTRIC WATER COMPANY,53063004200
1G1FZ6S00L,Spokane,Spokane,WA,99205,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,0,3,137118649,MODERN ELECTRIC WATER COMPANY,53063002000
1G1FZ6S03K,Spokane,Spokane,WA,99201,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,0,3,265970148,MODERN ELECTRIC WATER COMPANY,53063002300
WMZYU7C50K,Okanogan,Winthrop,WA,98862,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),12,36900,12,278803486,"OKANOGAN COUNTY ELEC COOP, INC",53047971000
5YJYGDEE4L,Okanogan,Winthrop,WA,98862,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,0,12,109671502,"OKANOGAN COUNTY ELEC COOP, INC",53047970900
5YJYGDEE4L,Okanogan,Winthrop,WA,98862,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,0,12,132184636,"OKANOGAN COUNTY ELEC COOP, INC",53047970900
5YJYGDEE7L,Okanogan,Winthrop,WA,98862,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,0,12,124710323,"OKANOGAN COUNTY ELEC COOP, INC",53047970900
5YJYGDEE2L,Okanogan,Twisp,WA,98856,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,0,12,109937243,"OKANOGAN COUNTY ELEC COOP, INC",53047971000
